"location","source","target"
"pretix/base/exporters/orderlist.py:493 pretix/base/exporters/orderlist.py:494 pretix/base/exporters/orderlist.py:495 pretix/base/exporters/orderlist.py:496 pretix/base/exporters/orderlist.py:497 pretix/base/exporters/orderlist.py:498 pretix/base/exporters/orderlist.py:499 pretix/base/exporters/orderlist.py:581 pretix/base/exporters/orderlist.py:582 pretix/base/exporters/orderlist.py:583 pretix/base/exporters/orderlist.py:584 pretix/base/exporters/orderlist.py:585 pretix/base/exporters/orderlist.py:586 pretix/base/exporters/orderlist.py:587","Invoice sender:","Rechnungsabsender:"
"pretix/base/exporters/orderlist.py:498 pretix/base/exporters/orderlist.py:586","Tax ID","Steuernummer"
"pretix/base/exporters/orderlist.py:500 pretix/base/exporters/orderlist.py:501 pretix/base/exporters/orderlist.py:502 pretix/base/exporters/orderlist.py:503 pretix/base/exporters/orderlist.py:504 pretix/base/exporters/orderlist.py:505 pretix/base/exporters/orderlist.py:506 pretix/base/exporters/orderlist.py:507 pretix/base/exporters/orderlist.py:508 pretix/base/exporters/orderlist.py:588 pretix/base/exporters/orderlist.py:589 pretix/base/exporters/orderlist.py:590 pretix/base/exporters/orderlist.py:591 pretix/base/exporters/orderlist.py:592 pretix/base/exporters/orderlist.py:593 pretix/base/exporters/orderlist.py:594 pretix/base/exporters/orderlist.py:595 pretix/base/exporters/orderlist.py:596","Invoice recipient:","Rechnungsempfänger:"
"pretix/base/exporters/orderlist.py:502 pretix/base/exporters/orderlist.py:590","Street address","Straße"
"pretix/base/exporters/orderlist.py:507 pretix/base/exporters/orderlist.py:595 pretix/base/models/orders.py:1870","Beneficiary","Leistungsempfänger"
"pretix/base/exporters/orderlist.py:508 pretix/base/exporters/orderlist.py:596 pretix/base/models/orders.py:1865 pretix/control/templates/pretixcontrol/order/index.html:664 pretix/presale/templates/pretixpresale/event/checkout_confirm.html:107","Internal reference","Interne Referenz"
"pretix/base/exporters/orderlist.py:509 pretix/control/forms/event.py:1190","Reverse charge","Reverse Charge"
"pretix/base/exporters/orderlist.py:510","Shown foreign currency","Angezeigte Fremdwährung"
"pretix/base/exporters/orderlist.py:511","Foreign currency rate","Wechselkurs Fremdwährung"
"pretix/base/exporters/orderlist.py:512","Total value (with taxes)","Gesamtbetrag (mit Steuern)"
"pretix/base/exporters/orderlist.py:513","Total value (without taxes)","Gesamtbetrag (ohne Steuern)"
"pretix/base/exporters/orderlist.py:539 pretix/base/exporters/orderlist.py:618","Cancellation","Storno"
"pretix/base/exporters/orderlist.py:539 pretix/base/exporters/orderlist.py:618 pretix/control/templates/pretixcontrol/order/index.html:163 pretix/presale/templates/pretixpresale/event/order.html:179","Invoice","Rechnung"
"pretix/base/exporters/orderlist.py:558 pretix/base/models/orders.py:836 pretix/control/views/item.py:445 pretix/control/views/vouchers.py:78 pretix/control/views/vouchers.py:79 pretix/plugins/checkinlists/exporters.py:359 pretix/plugins/pretixdroid/templates/pretixplugins/pretixdroid/configuration.html:82 pretix/plugins/pretixdroid/templates/pretixplugins/pretixdroid/configuration.html:83 pretix/presale/checkoutflow.py:641","Yes","Ja"
"pretix/base/exporters/orderlist.py:558 pretix/base/models/orders.py:838 pretix/control/views/item.py:445 pretix/control/views/vouchers.py:78 pretix/control/views/vouchers.py:79 pretix/plugins/checkinlists/exporters.py:359 pretix/plugins/pretixdroid/templates/pretixplugins/pretixdroid/configuration.html:82 pretix/plugins/pretixdroid/templates/pretixplugins/pretixdroid/configuration.html:83 pretix/presale/checkoutflow.py:643","No","Nein"
"pretix/base/exporters/orderlist.py:567","Line number","Zeilennummer"
"pretix/base/exporters/orderlist.py:569 pretix/control/forms/orders.py:196","Gross price","Brutto-Preis"
"pretix/base/exporters/orderlist.py:570","Net price","Nettopreis"
"pretix/base/exporters/orderlist.py:573","Tax name","Steuerregel"
"pretix/base/exporters/orderlist.py:574","Event start date","Veranstaltungsbeginn"
"pretix/base/forms/auth.py:17 pretix/base/forms/auth.py:173 pretix/base/models/auth.py:78 pretix/base/models/notifications.py:25 pretix/base/models/orders.py:135 pretix/control/navigation.py:68 pretix/plugins/checkinlists/exporters.py:313 pretix/presale/checkoutflow.py:631 pretix/presale/forms/checkout.py:26 pretix/presale/forms/user.py:6","E-mail","E-Mail"
"pretix/base/forms/auth.py:18 pretix/base/forms/auth.py:84 pretix/base/forms/auth.py:136 pretix/control/forms/event.py:964 pretix/control/templates/pretixcontrol/user/reauth.html:18","Password","Passwort"
"pretix/base/forms/auth.py:19 pretix/base/forms/auth.py:97","Keep me logged in","Angemeldet bleiben"
"pretix/base/forms/auth.py:22","Please enter a correct email address and password.","Bitte gib eine gültige Kombination aus E-Mail-Adresse und Passwort ein."
"pretix/base/forms/auth.py:23","This account is inactive.","Dieses Konto ist deaktiviert."
"pretix/base/forms/auth.py:76","You already registered with that email address, please use the login form.","Du hast dich bereits mit dieser E-Mail-Adresse registriert, bitte verwende das Login-Formular."
"pretix/base/forms/auth.py:77 pretix/base/forms/auth.py:133 pretix/base/forms/user.py:21 pretix/control/forms/users.py:24","Please enter the same password twice","Bitte gib zweimal dasselbe Passwort ein."
"pretix/base/forms/auth.py:80","Email address","E-Mail-Adresse"
"pretix/base/forms/auth.py:91 pretix/base/forms/auth.py:141","Repeat password","Passwort wiederholen"
"pretix/base/forms/questions.py:316 pretix/control/forms/item.py:71","This field is required","Dieses Feld ist erforderlich"
"pretix/base/forms/questions.py:330","Street and Number","Straße und Hausnummer"
"pretix/base/forms/questions.py:387","You need to provide a company name.","Du musst einen Firmennamen eingeben."
"pretix/base/forms/questions.py:389","You need to provide your name.","Du musst deinen Namen eingeben."
"pretix/base/forms/questions.py:400 pretix/control/views/orders.py:978","Your VAT ID does not match the selected country.","Die eingegebene USt-ID-Nr. passt nicht zum ausgewählten Land."
"pretix/base/forms/questions.py:408","This VAT ID is not valid. Please re-check your input.","Die USt-ID-Nr. ist ungültig. Bitte prüfe deine Eingabe."
"pretix/base/forms/questions.py:413","Your VAT ID could not be checked, as the VAT checking service of your country is currently not available. We will therefore need to charge VAT on your invoice. You can get the tax amount back via the VAT reimbursement process.","Die USt-ID-Nr. konnte nicht geprüft werden, da der Prüfdienst deines Landes im Moment nicht verfügbar ist. Wir müssen daher USt auf deine Bestellung berechnen. Du kannst den Steuerbetrag über das Umsatzsteuervergütungsverfahren zurück erlangen."
"pretix/base/forms/questions.py:421","Your VAT ID could not be checked, as the VAT checking service of your country returned an incorrect result. We will therefore need to charge VAT on your invoice. Please contact support to resolve this manually.","Die USt-ID-Nr. konnte nicht geprüft werden, da der Prüfdienst deines Landes ein ungültiges Ergebnis zurückgeliefert hat. Wir müssen daher USt auf deine Bestellung berechnen. Bitte kontaktiere den Support, um das Problem manuell zu beheben."
"pretix/base/forms/user.py:16 pretix/control/forms/users.py:22","There already is an account associated with this e-mail address. Please choose a different one.","Diese E-Mail-Adresse ist bereits mit einem anderen Benutzer verknüpft. Bitte wähle eine andere."
"pretix/base/forms/user.py:18","Please enter your current password if you want to change your e-mail address or password.","Bitte gib dein aktuelles Passwort ein, um deine E-Mail-Adresse oder dein Passwort zu ändern."
"pretix/base/forms/user.py:20 pretix/control/views/shredder.py:107","The current password you entered was not correct.","Das eingegebene aktuelle Passwort war nicht korrekt."
"pretix/base/forms/user.py:26","Your current password","Aktuelles Passwort"
"pretix/base/forms/user.py:30 pretix/control/forms/users.py:29","New password","Neues Passwort"
"pretix/base/forms/user.py:34 pretix/control/forms/users.py:33","Repeat new password","Neues Passwort wiederholen"
"pretix/base/forms/user.py:38 pretix/control/forms/event.py:301 pretix/control/forms/users.py:37","Default timezone","Standardzeitzone"
"pretix/base/forms/user.py:39 pretix/control/forms/users.py:38","Only used for views that are not bound to an event. For all event views, the event timezone is used instead.","Wird für alle Ansichten benutzt, die nicht zu einer einzelnen Veranstaltung gehören. Für alle Ansichten zu einer einzelnen Veranstaltung wird die Zeitzone der Veranstaltung verwendet."
"pretix/base/forms/user.py:115","Device name","Gerätename"
"pretix/base/forms/user.py:116","Device type","Gerätetyp"
"pretix/base/forms/user.py:117","Smartphone with the Authenticator application","Smartphone mit Authenticator-App"
"pretix/base/forms/user.py:118","U2F-compatible hardware token (e.g. Yubikey)","U2F-kompatibler Hardwaretoken (z.B. Yubikey)"
"pretix/base/forms/validators.py:28","Invalid placeholder syntax: You used a different number of ""{"" than of ""}"".","Ungültige Platzhalter-Syntax: Es müssen gleich viele ""{"" wie ""}"" vorkommen."
"pretix/base/forms/validators.py:39","Invalid placeholder(s): %(value)s","Ungültige(r) Platzhalter: %(value)s"
"pretix/base/forms/widgets.py:126 pretix/base/forms/widgets.py:131 pretix/base/models/orders.py:1852","Business customer","Firmenkunde"
"pretix/base/forms/widgets.py:130","Individual customer","Privatkunde"
"pretix/base/invoice.py:59","Page %d of %d","Seite %d von %d"
"pretix/base/invoice.py:246","Classic renderer (pretix 1.0)","Klassisch (pretix 1.0)"
"pretix/base/invoice.py:287","Invoice from","Rechnungsaussteller"
"pretix/base/invoice.py:293","Invoice to","Rechnungsempfänger"
"pretix/base/invoice.py:321 pretix/base/invoice.py:723","Order code","Bestellnummer"
"pretix/base/invoice.py:330 pretix/base/invoice.py:732","Cancellation number","Korrekturnummer"
"pretix/base/invoice.py:336 pretix/base/invoice.py:740","Original invoice","Ursprüngl. Rechnung"
"pretix/base/invoice.py:341 pretix/base/invoice.py:747","Invoice number","Rechnungsnummer"
"pretix/base/invoice.py:349 pretix/base/invoice.py:762","Cancellation date","Korrekturdatum"
"pretix/base/invoice.py:355","Original invoice date","Ursprüngl. Rechnungsdatum"
"pretix/base/invoice.py:362 pretix/base/invoice.py:764","Invoice date","Rechnungsdatum"
"pretix/base/invoice.py:378","Event","Veranstaltung"
"pretix/base/invoice.py:397","{from_date}
until {to_date}","{from_date}
bis {to_date}"
"pretix/base/invoice.py:425 pretix/control/templates/pretixcontrol/base.html:260 pretix/control/templates/pretixcontrol/checkin/index.html:94 pretix/control/templates/pretixcontrol/order/index.html:20 pretix/control/templates/pretixcontrol/orders/index.html:120 pretix/control/templates/pretixcontrol/orders/refunds.html:59 pretix/control/templates/pretixcontrol/search/orders.html:65 pretix/presale/templates/pretixpresale/event/order.html:48","TEST MODE","TESTMODUS"
"pretix/base/invoice.py:430","Invoice {num}","Rechnung {num}"
"pretix/base/invoice.py:465","Invoice","Rechnung"
"pretix/base/invoice.py:467 pretix/control/templates/pretixcontrol/order/index.html:163 pretix/presale/templates/pretixpresale/event/order.html:179","Cancellation","Rechnungskorrektur"
"pretix/base/invoice.py:475","Customer reference: {reference}","Kundenseitige Referenz: {reference}"
"pretix/base/invoice.py:481","Customer VAT ID","USt-ID des Kunden"
"pretix/base/invoice.py:488","Beneficiary","Leistungsempfänger"
"pretix/base/invoice.py:510 pretix/base/invoice.py:518","Description","Position"
"pretix/base/invoice.py:511 pretix/base/invoice.py:519","Qty","Menge"
"pretix/base/invoice.py:512 pretix/base/invoice.py:575","Tax rate","Steuersatz"
"pretix/base/invoice.py:513","Net","Netto"
"pretix/base/invoice.py:514","Gross","Brutto"
"pretix/base/invoice.py:520","Amount","Betrag"
"pretix/base/invoice.py:545 pretix/base/invoice.py:550","Invoice total","Rechnungsbetrag"
"pretix/base/invoice.py:576","Net value","Netto"
"pretix/base/invoice.py:577","Gross value","Brutto"
"pretix/base/invoice.py:578","Tax","Steuer"
"pretix/base/invoice.py:608","Included taxes","Enthaltene Umsatzsteuer"
"pretix/base/invoice.py:636","Using the conversion rate of 1:{rate} as published by the European Central Bank on {date}, this corresponds to:","Mit dem am {date} von der Europäischen Zentralbank veröffentlichten Wechselkurs von 1:{rate} entspricht dies:"
"pretix/base/invoice.py:649","Using the conversion rate of 1:{rate} as published by the European Central Bank on {date}, the invoice total corresponds to {total}.","Mit dem am {date} von der Europäischen Zentralbank veröffentlichten Wechselkurs von 1:{rate} entspricht der Rechnungsbetrag {total}."
"pretix/base/invoice.py:662","Modern Invoice Renderer (pretix 2.7)","Modern (pretix 2.7)"
"pretix/base/migrations/0077_auto_20171124_1629.py:33 pretix/base/migrations/0077_auto_20171124_1629_squashed_0088_auto_20180328_1217.py:35","Default list","Standard-Liste"
"pretix/base/models/auth.py:80 pretix/base/models/orders.py:1854 pretix/base/settings.py:752 pretix/base/settings.py:763 pretix/control/templates/pretixcontrol/users/index.html:42","Full name","Voller Name"
"pretix/base/models/auth.py:82","Is active","Ist aktiviert"
"pretix/base/models/auth.py:84","Is site admin","Ist Systemadministrator"
"pretix/base/models/auth.py:86","Date joined","Registrierungsdatum"
"pretix/base/models/auth.py:93","Timezone","Zeitzone"
"pretix/base/models/auth.py:96","Two-factor authentication is required to log in","Zwei-Faktor-Authentifizierung ist zum Log-In nötig"
"pretix/base/models/auth.py:100","Receive notifications according to my settings below","Erhalte Benachrichtigungen entsprechend der untenstehenden Einstellungen"
"pretix/base/models/auth.py:101","If turned off, you will not get any notifications.","Wenn diese Einstellung aus ist, erhältst du keine Benachrichtigungen."
"pretix/base/models/auth.py:112 pretix/control/templates/pretixcontrol/order/index.html:137 pretix/control/templates/pretixcontrol/orders/index.html:94 pretix/control/templates/pretixcontrol/search/orders.html:42 pretix/control/templates/pretixcontrol/user/staff_session_edit.html:23 pretix/control/templates/pretixcontrol/user/staff_session_list.html:15 pretix/control/templates/pretixcontrol/users/form.html:4 pretix/control/templates/pretixcontrol/users/form.html:6 pretix/control/templates/pretixcontrol/waitinglist/index.html:130 pretix/control/views/organizer.py:67 tests/base/test_mail.py:86","User","Benutzer"
